类别,空间群序号,样本数
Head,2,27040
Head,33,6925
Head,62,6380
Head,15,5900
Head,14,5646
Head,9,5592
Head,60,5025
Head,13,4778
Head,61,4622
Head,1,3887
Head,29,3436
Head,11,2998
Head,56,2021
Head,18,1892
Head,88,1513
Head,12,1241
Head,43,1196
Medium,20,902
Medium,96,872
Medium,92,871
Medium,52,861
Medium,147,833
Medium,148,808
Medium,82,803
Medium,36,765
Medium,86,764
Medium,114,741
Medium,146,661
Medium,57,602
Medium,63,588
Medium,85,571
Medium,176,535
Medium,58,519
Medium,152,506
Medium,165,469
Medium,154,442
Medium,167,441
Medium,87,434
Medium,173,434
Medium,161,413
Medium,198,386
Medium,122,380
Medium,78,361
Medium,76,360
Medium,54,339
Medium,205,321
Medium,163,315
Medium,70,306
Medium,130,298
Medium,31,289
Medium,194,289
Medium,45,287
Medium,144,280
Medium,145,270
Medium,155,264
Medium,159,262
Medium,166,259
Medium,72,241
Medium,170,239
Medium,8,238
Medium,169,236
Medium,74,211
Medium,55,203
Medium,34,194
Medium,217,188
Medium,59,176
Medium,139,166
Medium,221,162
Medium,23,159
Medium,98,151
Medium,178,151
Medium,142,145
Medium,179,143
Medium,143,142
Medium,190,140
Medium,225,138
Medium,65,138
Medium,73,137
Medium,110,135
Medium,94,134
Medium,160,132
Medium,126,131
Medium,81,130
Medium,118,126
Medium,141,125
Medium,131,124
Medium,79,121
Medium,40,120
Medium,121,120
Medium,123,117
Medium,113,117
Medium,136,114
Medium,32,114
Medium,128,109
Medium,10,102
Tail,191,96
Tail,192,96
Tail,26,95
Tail,129,94
Tail,66,93
Tail,80,93
Tail,140,90
Tail,30,89
Tail,71,88
Tail,104,88
Tail,182,88
Tail,46,88
Tail,137,87
Tail,53,85
Tail,3,84
Tail,138,84
Tail,124,82
Tail,164,78
Tail,150,76
Tail,218,75
Tail,95,74
Tail,84,71
Tail,50,69
Tail,197,65
Tail,37,63
Tail,158,63
Tail,186,63
Tail,90,62
Tail,135,59
Tail,69,58
Tail,91,58
Tail,106,57
Tail,48,55
Tail,44,55
Tail,77,55
Tail,120,54
Tail,17,53
Tail,162,51
Tail,180,50
Tail,193,49
Tail,24,49
Tail,220,48
Tail,227,47
Tail,97,46
Tail,134,44
Tail,189,42
Tail,51,41
Tail,171,41
Tail,199,40
Tail,213,39
Tail,42,38
Tail,21,38
Tail,117,38
Tail,75,37
Tail,181,37
Tail,133,35
Tail,125,32
Tail,172,32
Tail,109,31
Tail,127,30
Tail,215,29
Tail,201,29
Tail,175,29
Tail,185,28
Tail,212,28
Tail,108,26
Tail,47,26
Tail,204,26
Tail,224,26
Tail,174,25
Tail,38,24
Tail,222,23
Tail,223,23
Tail,112,22
Tail,83,21
Tail,103,21
Tail,116,21
Tail,119,20
Tail,27,20
Tail,216,20
Tail,6,19
Tail,200,18
Tail,49,18
Tail,102,17
Tail,132,17
Tail,157,16
Tail,177,16
Tail,196,16
Tail,187,16
Tail,151,16
Tail,107,15
Tail,203,13
Tail,211,12
Tail,153,12
Tail,188,12
Tail,206,12
Tail,22,12
Tail,230,11
Tail,16,11
Tail,214,11
Tail,168,11
Tail,4,10
Tail,19,9
Tail,28,8
Tail,207,8
Tail,195,8
Tail,229,7
Tail,184,7
Tail,35,6
Tail,111,5
Tail,89,5
Tail,115,5
Tail,101,5
Tail,100,4
Tail,156,4
Tail,93,4
Tail,149,4
Tail,219,3
Tail,183,3
Tail,226,3
Tail,202,3
Tail,25,3
Tail,209,1
Tail,210,1
Tail,99,1
Tail,5,1
Tail,208,1
Tail,7,1
